labela,labelx
a554,zyx_cc_deu_deu_1
a303,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a300,zyx_cc_deu_deu_1
a303,zyx_cc_deu_deu_1
a303,zyx_cc_deu_deu_1
a303,zyx_cc_deu_deu_1
a303,zyx_cc_deu_deu_1
a303,zyx_cr_lit_deu_1
a303,zyx_cr_lit_deu_1
a303,zyx_cr_lit_deu_1
a300,zyx_cr_lit_deu_1
a300,zyx_cr_lit_deu_1
a300,zyx_cr_lit_deu_1
